manifestation	specific version of a work, resulting from its edition, adaptation, or translation; set of substantially similar copies of a work.
command hierarchy	group of people who carry out orders based on others authority within the group.
engraving	artwork produced via engraving process.
carcinogen	any substance, radionuclide, or radiation that promotes carcinogenesis, the formation of cancer.
steam locomotive	railway locomotive that produces its pulling power through a steam engine.
note	written message on paper containing information sent from one party to another.
political movement	movement to obtain a political goal.
item of collection or exhibition	defines an item, such as an object or document, that is a member of a collection or part of a repository.
world view	fundamental cognitive orientation of an individual or society encompassing the entirety of the individual or society's knowledge and point of view.
recreative work	distinct creation done with the purpose of recreation.
animated film	film for the cinema, television or computer screen that is made by using drawings, stop motion or computer animation.
disaster	hazard resulting in an event causing significant physical damage, destruction or death.
knowledge	experience or education by perceiving, discovering, or learning; theoretical or practical understanding of a subject.
room	distinguishable space within a building or other structure.
federal subject of Russia	official constitutional top-level political division of Russia.
abstract being	entity that has no physical realisation.
professional cycling team	professional sports team.
conservation	ethic of resource use, allocation, and protection.
computer language	language designed to communicate instructions to a machine. Not to be confused with  "programming language implementation" (Q4117406).
skill	learned ability to carry out a task.
chemical hazard	a type of occupational hazard caused by exposure to toxic chemicals in the workplace.
special collections	library or library unit that houses materials requiring specialized security and user services.
state power	Wikimedia disambiguation page.
minor civil division	governmental divisions of U.S. counties, such as civil townships.
sandwich	two slices of bread with filling in between them.
ice	water frozen into the solid state.
sensor	device that measures a physical quantity and converts it into a signal.
observance	festive day set aside by custom or by law.
attempt	occurs if a criminal has an intent to commit a crime and takes a substantial step toward completing the crime.
silence	lack of audible sound or presence of sounds of very low intensity.
irregular military	any non-standard military organization.
sport competition at a multi-sport event	sport competition/discipline held at a multi-sport event.
Indigenous peoples of North America	pre-Columbian inhabitants of North America.
foundation	lowest and supporting layer of a structure.
electronic game	game that employs electronics to create an interactive system with which a player can play.
transformation	genetic alteration of a cell by uptake of genetic material from the environment.
city/town	human settlement.
obsolete unit of measurement	unit of measurement no longer used in contemporary times.
Ribosome-inactivating protein	InterPro Family.
sterol lipids	class of chemical compounds.
county of the United States	U.S. state subdivision used by most states in the United States of America.
railway station	railway facility where trains regularly stop to load or unload passengers and/or freight.
river ecosystem	Type of aquatic ecosystem with flowing freshwater.
ferry	male given name.
fictional empire	form of fictional government.
software	non-tangible executable component of a computer.
lithostratigraphic unit	geologic unit denoting a specific body of rock based on its lithologic or stratigraphic characteristics.
security risk	any event that could result in loss due to unauthorized access or disclosure.
languoid class	e.g. dialect, language, macrolanguage, language subfamily, family, or superfamily; each instance of these is a subclass of languoid.
access control	selective restriction of access to a place or other resource, allowing only authorized users.
robotic spacecraft	uncrewed spacecraft, usually under telerobotic control.
dry bulk cargo	scientific article published on 20 June 2016.
treasury	Australian government department.
cause of cancer	genetic changes leading to uncontrolled cell growth and tumor formation.
census place	U.S. Census bordered area of settlement.
division of an educational institution	partition of an educational institution by level, academic field, history, or another reason.
